produto_key,nome_produto,descricao_produto,marca,preco,estoque,peso_kg,categoria_key,nome_categoria,descricao_categoria,fornecedor_key,nome_fornecedor,estado_fornecedor,dw_record_hash,dw_valid_from,dw_valid_to,dw_is_current,produto_sk,_gold_airflow_run_id,_gold_processed_at
10267,Adidas Turbo Esse 4193,Cum sunt quidem blanditiis eos voluptas omnis officia molestias.,Adidas,21.38,66,5.01,7931,Jóias - Iusto,Seleção especial com ótimo custo-benefício,11599,Albuquerque,DF,ec5424c37e4ec9848f2dfc49bfe3d5b4ff21359287bee5ea4bd88f32e1f71781,1900-01-01,9999-12-31 23:59:59,True,c2afd73994d88802a67b73d0867231f96e71ca14e104060597d5f8894a6675af,manual_run_1,2026-06-24 00:59:43.317
10593,Oster Slim Hic 4295,Neque praesentium laborum beatae tempore voluptate nihil.,Oster,4287.22,180,5.48,9691,Cinema - Error,Produtos de alta qualidade para o dia a dia,6019,Azevedo,RJ,10cfdf413d8fb22030dd4368d65da82c47a8fa7aab60180d29eb14c24f186e76,1900-01-01,9999-12-31 23:59:59,True,945b540624b7d85bc48bf1c08ca364a71587121acfe2d59b8a4b42cbddc05086,manual_run_1,2026-06-24 00:59:43.317
10619,Panasonic Pro Sapiente 4982,Quasi ipsa maxime ipsum qui accusamus eaque aperiam eaque dolorem hic.,Panasonic,897.65,28,13.69,1638,Decoração - Incidunt,As melhores marcas e preços do mercado,14854,Alves,PI,c5dbf114eed58b603cdbffcd8d851336248c8451f6e7912ae0f9732adf4c80b6,1900-01-01,9999-12-31 23:59:59,True,fa4aedb8945f5e1adc00c6c5ca3563c6a12f058270d39098dcc633da1e99882f,manual_run_1,2026-06-24 00:59:43.317
10720,Panasonic Plus Itaque 114,Cupiditate magni tempore eligendi adipisci cumque explicabo rerum cumque nobis.,Panasonic,2865.42,3,1.54,10711,Culinária - Dolor,Novidades e lançamentos da temporada,11165,Farias S.A.,PE,c119d431701f213a882c30e2a58e69fa0564cd787b9d938ca368951f11d525f2,1900-01-01,9999-12-31 23:59:59,True,c5a40f8d88d4a1e00186a3aef6c3325257c3ad5e23fb4d4665e49056d98c6599,manual_run_1,2026-06-24 00:59:43.317
10934,Lenovo Lite Laboriosam 167,Dignissimos eos neque possimus reiciendis aliquid fugiat.,Lenovo,4247.99,254,1.91,5003,Camping - Asperiores,Seleção especial com ótimo custo-benefício,2655,Rodrigues,RJ,cbb8e5544875e5535aa0c7a41d3d56ca2b6831675c2e3788d9c319a42df5c943,1900-01-01,9999-12-31 23:59:59,True,8212e218ce1bc911b73dff4711484c43e2a55188ef628a672d6209fae184bdde,manual_run_1,2026-06-24 00:59:43.317
11049,Sony Pro Nam 1101,Natus repellendus a exercitationem tenetur vero autem porro nulla vel veritatis nemo.,Sony,4324.35,439,21.94,11564,Saúde - Qui,Variedade completa para todas as necessidades,991,Siqueira Ltda.,GO,c328dcc92e6b79c5875b8ca21a9d7d780f55d024435b222b3cb7106e2b921e87,1900-01-01,9999-12-31 23:59:59,True,228db0a5c61a529a6d61135daf4c0c16bbe65da973a31fbd2cb3846d0002f7ad,manual_run_1,2026-06-24 00:59:43.317
11084,Motorola Max Quo 2846,Deserunt vitae placeat aliquam ducimus ipsum quam at quia alias aliquam laborum minus.,Motorola,3261.17,377,29.2,1692,Eletrônicos - Laudantium,Seleção especial com ótimo custo-benefício,5669,Camargo,MA,dd54fccd918a8af418513a40eae0b389ba4fcb9447807b816167fb55243539ab,1900-01-01,9999-12-31 23:59:59,True,9354a0a42ad26de63a8b90a541861da29bc225073845757acc63a5e550a8ef52,manual_run_1,2026-06-24 00:59:43.317
11194,Mondial Plus Tempora 9234,Deserunt harum aspernatur quam quae alias cumque impedit.,Mondial,3232.45,27,2.26,742,Papelaria - Numquam,Coleção completa para todos os gostos,8574,da Rosa,AM,075e59f81ad19c81b98d7334e5d645e9c99833cc16bcaa6762dcf5f1bc52638e,1900-01-01,9999-12-31 23:59:59,True,76db1f5648d25aff8cd8a16d9cfa791e78b7f35670d21ea3559b02b13bf3a909,manual_run_1,2026-06-24 00:59:43.317
11198,Panasonic Turbo Ratione 2011,Illo ratione autem ea aut non veniam ipsum inventore sint fugiat numquam ipsum.,Panasonic,4682.24,243,17.8,12207,Informática - Illum,Coleção completa para todos os gostos,9264,Viana,MG,ad372c87e5839f8390e266560e07e888b42e33bd6d2d7b096d66aa3981797715,1900-01-01,9999-12-31 23:59:59,True,7fcb425dedf84854ce3541b46706fbaf760ac86645a50e0ffea23eda50009f09,manual_run_1,2026-06-24 00:59:43.317
1124,Apple Pro Dicta 8900,Quis fugit qui ratione enim nemo dolores quaerat impedit aliquam fuga ex.,Apple,4598.09,18,16.01,7377,Eletrônicos - Eum,Coleção completa para todos os gostos,8555,Farias,GO,5fba6001fbeb7b0ba7e93cd7fc70e1018d565807d4de69d2093f275b6df6710c,1900-01-01,9999-12-31 23:59:59,True,ab0d197ea81191913152641e156da23e8c122a4705c977a763388cc5e5a74e6c,manual_run_1,2026-06-24 00:59:43.317
11329,Philips Super Aut 8870,Ducimus earum at iure esse libero veritatis unde consequuntur magni repellat.,Philips,1945.27,462,1.58,13115,Viagem - Saepe,Seleção especial com ótimo custo-benefício,563,Peixoto,MA,6b51f0a7a1f16fc63e6ced3b8eba70da6bc42594e10ff3b2a4e8c436f045eac7,1900-01-01,9999-12-31 23:59:59,True,476a7c5fec8ffbcadd4f1a6dce1ac2e8910aedab5ba4f4e45dc3cc3df79c06de,manual_run_1,2026-06-24 00:59:43.317
11599,Positivo Pro Officiis 9658,Voluptatum impedit in maxime enim cum.,Positivo,2301.8,36,14.58,14249,Livros - Quisquam,Produtos importados e nacionais,1189,Vieira e Filhos,DF,04869f6f29fc1eec90bad4b4ff2cccaee786c3f266e5bbfc9a80335fc64e95b1,1900-01-01,9999-12-31 23:59:59,True,d0c907cf9a5d086cb0918a4a61fc504c8028cd92c2775d21a671252640404747,manual_run_1,2026-06-24 00:59:43.317
11602,Nike Ultra Quod 1243,Magni sunt laudantium tempora iusto impedit incidunt soluta laudantium exercitationem in quibusdam.,Nike,997.52,147,20.78,2766,Papelaria - A,Novidades e lançamentos da temporada,10759,Machado,RJ,d1c714029f88e248d28866b4466af7fa739c1a9c73c17a933c5fd4d8d038043e,1900-01-01,9999-12-31 23:59:59,True,8d54a4dca2b132534ad2bb70e219cf8613da43a681a36d7b5ec9d9ca4c5438f4,manual_run_1,2026-06-24 00:59:43.317
11625,HP Ultra Quisquam 8070,Architecto cumque inventore inventore nesciunt autem.,HP,1598.84,245,17.98,13162,Pet Shop - Aperiam,Produtos de alta qualidade para o dia a dia,14582,Campos Costa S.A.,PR,0b37b0e46bd235f544f216f65b5f32eae0d86d878b21fbd0daa1149c997354d0,1900-01-01,9999-12-31 23:59:59,True,3717030488c49f29e3b4a59f7294d0e4b535f56398db4ad6741e4a27fc0268d2,manual_run_1,2026-06-24 00:59:43.317
11670,Tramontina Pro Non 4314,Ipsa laborum ad accusantium ex harum.,Tramontina,3631.24,168,7.41,10758,Camping - Facere,Coleção completa para todos os gostos,5179,Rezende - ME,MT,f946265793d85f04926746a4e0984295e0d218f0a70cb73a3e78fa5bfc407c6c,1900-01-01,9999-12-31 23:59:59,True,c0232c93e5b216e2047c4445035c1137f1f16184157738c5f0d989f83e400112,manual_run_1,2026-06-24 00:59:43.317
12139,Panasonic Smart Voluptate 2518,Mollitia ullam impedit rem distinctio deleniti.,Panasonic,1504.58,129,3.54,10284,Esportes - Ex,Variedade completa para todas as necessidades,2946,Sampaio,RS,f354752f34611d76448d0642f01ca421957d577faa2891f720469fcf32d6f4f2,1900-01-01,9999-12-31 23:59:59,True,cc2ff159d87d56d7d95a74d248b45939076ee034a6d031a933e6162d7b908be5,manual_run_1,2026-06-24 00:59:43.317
12170,Dell Slim Fuga 4342,Deleniti ducimus qui similique tenetur distinctio repellendus minus expedita architecto hic.,Dell,2974.39,130,6.6,10141,Brinquedos - Omnis,As melhores marcas e preços do mercado,10011,Santos S.A.,AL,921f961932eff9c9e05ed7ebe83cabcf1eb096a0aced9ff600c49a6076f8d0b9,1900-01-01,9999-12-31 23:59:59,True,330f1e49b040629a77c1efa57440e7c98ac277bc868d0efb22bffa322ecd7600,manual_run_1,2026-06-24 00:59:43.317
12318,Oster Lite Aspernatur 4163,Natus officiis animi corporis voluptatibus repudiandae a unde tempora dolores eius pariatur.,Oster,2239.77,208,11.0,5045,Ferramentas - Sapiente,Novidades e lançamentos da temporada,11341,Mendonça,RO,c9e5488cd756a01d0b59ec3fd6d449694b419c76ff01078251063f7824f8f72c,1900-01-01,9999-12-31 23:59:59,True,5c67fa23b0dcf52c7d26e361f81824a40f67b3ee7acf375076d319ed547c72d7,manual_run_1,2026-06-24 00:59:43.317
12683,Philips Ultra Numquam 2731,Repellat ratione aut assumenda sit nemo saepe corrupti laboriosam labore.,Philips,3830.98,402,25.43,2412,Limpeza - Itaque,Novidades e lançamentos da temporada,4467,Pinto,PI,6dcb47e0ea4b0bd96d99ec8e57cd2daa0f2322af3732e0813791c9f9dda3e244,1900-01-01,9999-12-31 23:59:59,True,fde48dc63ec320e3c8e4de3903f330c4f4c24838d29191ae804d9d5eae212311,manual_run_1,2026-06-24 00:59:43.317
12701,Intelbras Premium Itaque 4398,Ipsa accusamus voluptatum numquam modi itaque provident et deleniti dolorem iste.,Intelbras,3453.06,474,28.45,11875,Ferramentas - Cumque,Novidades e lançamentos da temporada,1552,Santos,AC,3d1d0d4bb269e8eda6625a85f5ca7b185910810fef307a71f32b9bd6147d230e,1900-01-01,9999-12-31 23:59:59,True,3e14ba90ca5e3fc9802b9847961810b339b876ecd10c8da6afe46ef29574b900,manual_run_1,2026-06-24 00:59:43.317
12831,LG Lite Dolores 1142,Optio vel excepturi ea omnis alias dignissimos cupiditate quisquam.,LG,4787.37,432,15.42,10245,Automotivo - Voluptatibus,Itens exclusivos e limitados,6523,Azevedo,PB,48452c5cce7fbb9894f6198653958d32ff01e047b7d0c3ef809ee551ef86742b,1900-01-01,9999-12-31 23:59:59,True,bd36bfe47533727db7e7ca2ed9794c0957615907c60f059fe8c4368d4a9e2308,manual_run_1,2026-06-24 00:59:43.317
12994,Motorola Smart Sint 419,Earum ut quis eligendi soluta nesciunt nobis minima laborum perferendis iure harum aliquam.,Motorola,3860.66,239,13.41,7751,Livros - Fugit,Coleção completa para todos os gostos,3053,Nogueira,CE,52e83485dbf7daa6b5c9c1509ff3cd06d362d120bbcf1641575967f778925bc9,1900-01-01,9999-12-31 23:59:59,True,b2c80d10206d770bf33bfb79bb5db3036ab2792262f26564cddb1d5b270e7c8a,manual_run_1,2026-06-24 00:59:43.317
1300,Positivo Smart Dignissimos 406,Alias ipsam cupiditate voluptatibus non ad quibusdam laudantium.,Positivo,1421.88,124,21.0,1085,Alimentos - A,Novidades e lançamentos da temporada,11619,da Conceição Pires - EI,ES,a3780ca8507e2db4f028a047ca31082dceaaf635bc2c7b225ae4ef8d1df53b4e,1900-01-01,9999-12-31 23:59:59,True,de5d716a7d076fad646fe7483a53cdf246028f47e6899d5c619dda82614ac0ac,manual_run_1,2026-06-24 00:59:43.317
13028,Multilaser Lite Ratione 2597,Excepturi voluptatum id nulla numquam quia sint velit adipisci vitae dicta dolore.,Multilaser,2037.37,422,5.12,11904,Papelaria - Ad,Coleção completa para todos os gostos,440,Costa,RJ,83969899ddd58e6ddde0aa4fb9cda6c7260a5bf7df9eb798706e029e39aaa24c,1900-01-01,9999-12-31 23:59:59,True,a4a972f30395649b3b20baa2308b51186438a4e0cdcbcc6e006df86e992899fe,manual_run_1,2026-06-24 00:59:43.317
13091,Oster Pro Quibusdam 5587,Quae explicabo ipsam sequi delectus explicabo.,Oster,2806.55,148,26.39,8757,Esportes - Veritatis,Seleção especial com ótimo custo-benefício,2685,Aparecida e Filhos,PA,a50e8cfecef6438f909e3035d147d7a6e18c2dd8c041e29247e83105478da42a,1900-01-01,9999-12-31 23:59:59,True,4ea6ac2295cf4072d529e12d1748d4ee1a3af808635f2e70ee262ca2dad83923,manual_run_1,2026-06-24 00:59:43.317
13141,Apple Plus Quaerat 9783,Labore quod repellat expedita sed reiciendis assumenda autem maxime nostrum accusamus.,Apple,2888.09,24,26.34,2430,Pesca - Quae,Variedade completa para todas as necessidades,4094,Leão Abreu Ltda.,PR,ca913a814b3d8c70b2aba6be5d8ba95d8c621c21a0c763fa7dab72d8cc8257d4,1900-01-01,9999-12-31 23:59:59,True,9300f21bd330cc69a007a669a11c4d360fe892737699e082be780f9aa413d300,manual_run_1,2026-06-24 00:59:43.317
13177,Samsung Pro Fuga 8693,Harum assumenda voluptatibus rem quae est incidunt sapiente.,Samsung,2200.52,389,25.48,11798,Saúde - Doloremque,Produtos importados e nacionais,5725,Macedo,CE,cfb818329e87c5e9c837e468c7584a5e3a747b5845f10c1b91da867a57ad97e6,1900-01-01,9999-12-31 23:59:59,True,c503cb0b2a6a7d2bd772b9fa1741d21abc55a236b8266584421c45c4d3770d64,manual_run_1,2026-06-24 00:59:43.317
13242,Motorola Pro A 5192,Expedita tempore tempora dolor consequuntur voluptatibus velit.,Motorola,749.57,145,24.52,5785,Ferramentas - Ab,Novidades e lançamentos da temporada,9621,Lopes Guerra Ltda.,PI,b0feaec99f1eb0ab675136e6bba04edaa5a713b4cd9ab73b9b6fac3bade6cfda,1900-01-01,9999-12-31 23:59:59,True,6b98591283e353faa9b3757a8d6e04ddcd47c5f736f3f0c40cc174dd7795362a,manual_run_1,2026-06-24 00:59:43.317
