avaliacao_key,id_avaliacao,id_pedido,data_key,data_avaliacao,ano,cliente_key,produto_key,nota,comentario,avaliacao_positiva,quantidade_avaliacoes,cliente_sk,produto_sk,_gold_record_hash,_gold_airflow_run_id,_gold_processed_at
10934,10934,5610,20250701,2025-07-01,2025,14247,7616,4,Entrega rápida e produto de ótima qualidade.,True,1,c3119bb2731a3eff7515f12ba36c4ec2e46fc9f5a678526cfaad2d0ae379bc73,2dd062c2dbf15f15359e0e7af59f5417e7ad88bf9d42bdbe76f110d4d10a7aa4,9ceb753e6810897fc68a054ecd1853a81192325c61c435b71829843742fd4074,manual_run_1,2026-06-24 01:00:31.919
11049,11049,5987,20251107,2025-11-07,2025,3624,8749,5,"Muito satisfeito com a compra, recomendo!",True,1,e725ec784c999c903189b8264d91aa5dc129b2b04a0b9e2f741a0cf6b7dfc705,074fe4054cebba6b035a9c2bfa8083811888f0f9e118e44ea54bcd9f4a2612d6,10373777beb5c97e6a2e84efb46c7d3b8025d625dfcd06b5f04505b52e2c3f42,manual_run_1,2026-06-24 01:00:31.919
11198,11198,6249,20251025,2025-10-25,2025,10181,5175,5,Comprei e já quero comprar de novo. Perfeito!,True,1,732a14cb015008cb3f6d5e01abc931341c85e81663b2c611cb70c1ed9d030f90,9a1c6364cf28a0ed35fe1654fa69e3ec911fd39e5a564159efc1f69ab3577656,55854940460a4ad1f9afbefc7924a37fd7dd6045c2682f0f6a700dabe1f59ced,manual_run_1,2026-06-24 01:00:31.919
11670,11670,4554,20250812,2025-08-12,2025,12747,12438,4,Entrega rápida e produto de ótima qualidade.,True,1,c17fec1a19a50335510f394874bb3c994fbf30c79cbb54626d8f085d05d9e3b2,a556a417210a90b1300b30fecb8f45a99d896f99d1223babe63e48bd85bad5d0,5f5dd093b67dc7d930a21802b76a830ebb004f39cef5c97b2d3592271f777494,manual_run_1,2026-06-24 01:00:31.919
12318,12318,11586,20250520,2025-05-20,2025,6835,7689,5,Comprei e já quero comprar de novo. Perfeito!,True,1,3f481edc594519cf98b27af32ad204cea3bfcf58be075c6656a4d4c076483bcf,8b866e89d9244f5e1fc51451a14b26ba090aeb0a1702891b4e660983d1ce190a,909d1f052cd8658461f1da7145329dc3618f8792bcbddc7f25584f5b8b32c504,manual_run_1,2026-06-24 01:00:31.919
12683,12683,10168,20250407,2025-04-07,2025,4499,6476,5,Comprei e já quero comprar de novo. Perfeito!,True,1,092bbf15a657f0ca3f89aa7fac691f1f74b0fa2d4a3da3871ce0cb6ca4f1bfb3,c80ece19bd3cf0b9ee29c6695187a113a2a66e3335b6e3ec5dbd1afb6b0f6ec5,fabec6ed0dc2a3a119c1030657299682ea98623e69cdbadeb2afd28dada14318,manual_run_1,2026-06-24 01:00:31.919
1300,1300,1452,20250210,2025-02-10,2025,13513,5946,5,"Produto excelente, superou minhas expectativas!",True,1,ad0ba99ee17c16b396e483a16174d01874e00e7b7db8c54a68d8b0b345f771e1,32135f2cc405bea9b56542b9d4429630d10dad8ebe8156a39e5bcf175ce80a38,c628d64c74f6376e465edc96c33d4d527e89b5cdbed1f3e8da7f37c206c65ab6,manual_run_1,2026-06-24 01:00:31.919
13028,13028,11720,20250731,2025-07-31,2025,2189,7129,5,"Muito satisfeito com a compra, recomendo!",True,1,eee3854a38693a13b5bc24cea95fc4995ca7c388f55152adad0331a993fee1ab,1bdfda203918a4f0fb2204102f939703164df7748aea41ae45d5a5037e2c4f40,13fc114f498e7cba32bb744ae7eb39b532281f92f5ef7425a997a3e0625b4d41,manual_run_1,2026-06-24 01:00:31.919
13141,13141,718,20251121,2025-11-21,2025,5216,7233,5,"Produto excelente, superou minhas expectativas!",True,1,54cd2569b74d88f1fc00921be8a567b076b98be6476af23d22d130033bda5e7a,b4df55adf2c96dc19bc5044fa21c0c6c46b1d2d40cd7b9bd4af9940a58f82326,216522464edbde1732fbf397c60f3c18f6fad3f3dbd88866e1c0e1f102041526,manual_run_1,2026-06-24 01:00:31.919
13177,13177,3477,20250113,2025-01-13,2025,6236,2724,5,"Muito satisfeito com a compra, recomendo!",True,1,67de8001f44009d71da55b085b3ee04f7d739c77edaf1c92d3a0773c714bfdf9,315b081af9ae48e01bdab425633ab5d9258a7433c14e68b566c40e1e6422f83c,a52b2b5670fe22351902b8f245bc86d294c18de58e3aedd0a107f2bab9e571bc,manual_run_1,2026-06-24 01:00:31.919
