entrega_key,id_entrega,id_pedido,data_envio_key,data_prevista_key,data_real_key,data_envio,ano,cliente_key,status_entrega,transportadora,codigo_rastreio,prazo_previsto_dias,prazo_real_dias,atraso_dias,entrega_no_prazo,quantidade_entregas,cliente_sk,_gold_record_hash,_gold_airflow_run_id,_gold_processed_at
10267,10267,9744,20241220,20250105,,2024-12-20,2024,6496,em_transito,FedEx,OX966662229BR,16,,,,1,79b71405e2745803e6e6c573f5c6c2eb4341e161fb815ed28877905eb317af14,442d929fef809b156efe15e67a344327a162203a33155388f01b6a7b175fad91,manual_run_1,2026-06-24 01:00:14.078
10619,10619,6025,20241107,20241114,20241118.0,2024-11-07,2024,11007,entregue,JadLog,SY953816521BR,7,11.0,4.0,False,1,0b0accee44f9c3221475f13d944a26c391e64bed6dd63a6d23fe35a351de59b7,fa7accb174713014891bf8d0f7d23dcc36c286af0b7675d143c507d7173aaa4d,manual_run_1,2026-06-24 01:00:14.078
11625,11625,10463,20240718,20240806,20240807.0,2024-07-18,2024,11603,entregue,DHL,AH338909583BR,19,20.0,1.0,False,1,26436efe3a9be07740c13b884784dd13f00eb17f683897f1af967bd7eb52dc65,3bb7cbf358df27cdb00110de961e0ff5b3d985c41f26eb60618dd6f6699f3faf,manual_run_1,2026-06-24 01:00:14.078
13393,13393,1415,20240829,20240903,20240907.0,2024-08-29,2024,14409,entregue,Correios,DF863840842BR,5,9.0,4.0,False,1,d6bf79461926dab79a124aafa3ea5c9074e6ee60778091a606364e9be16b261f,2d76db97bd9b90d56eb9b3f9d5f47a7f2c2c3af5ed2d77b6ec9297f2ff7055fb,manual_run_1,2026-06-24 01:00:14.078
13595,13595,7547,20241231,20250112,20250111.0,2024-12-31,2024,8631,entregue,Loggi,AI982747468BR,12,11.0,0.0,True,1,3709a2ca2a11c5c658b2d4003707fe7ddc331fd56e7d7c6cc29549707ec34c0e,13028d7436e4a3d2e5a431a7f30b571973fcd972da2f54dd65b87f2aa5650e63,manual_run_1,2026-06-24 01:00:14.078
14118,14118,3525,20241019,20241103,,2024-10-19,2024,5194,pendente,JadLog,WN736163210BR,15,,,,1,0791cf765cbf282d72f27f8ff062104c25a9989c37bd3948c8a574393cbd5a1a,495123bf938a0d6c2cdd0571b0c20ab13db2910ebd45d22e07cd422b1cd27458,manual_run_1,2026-06-24 01:00:14.078
14507,14507,8009,20240924,20241012,20241014.0,2024-09-24,2024,13397,entregue,Total Express,DF229113252BR,18,20.0,2.0,False,1,f0d980e13f421b94963071f35dd6596787106c87e47e0430edece6274f6247e0,5704c87f8b5d9354fe8c0f66a269cbc707b9399682514d041d8320af1396a11a,manual_run_1,2026-06-24 01:00:14.078
14745,14745,5051,20240920,20240928,,2024-09-20,2024,5561,em_transito,JadLog,KF019700869BR,8,,,,1,df713252691f57ac16c8780b45c7af0f5d821196f3e6dabda088ad5e2e6000f6,bcf6bac6b5d41ed344dd9d0ab4d7e1211a40d00019116a8d365d1cfe0bc8d7f4,manual_run_1,2026-06-24 01:00:14.078
14824,14824,10695,20240711,20240731,20240803.0,2024-07-11,2024,4601,entregue,Total Express,UQ442332297BR,20,23.0,3.0,False,1,754e7db64b4dae94c5a25f41e68ba5e7da91e241b5152417428fe05055582e80,23391bb1c6a691fe5b5a7fb98abfdf780cd2b6036bcaf3d4ca5ad8a5654ea26f,manual_run_1,2026-06-24 01:00:14.078
1655,1655,13933,20241218,20250107,20250106.0,2024-12-18,2024,2147,entregue,JadLog,HF113105062BR,20,19.0,0.0,True,1,1f552a6f4f890eb934c09f79791bf590ff8c468ed3ebd57b86c64e915ac7e7dc,05946d481aa18746fe28199938c38a4fc516b52a7d11c8a74e068e390484be28,manual_run_1,2026-06-24 01:00:14.078
