pagamento_key,id_pagamento,id_pedido,data_key,data_pagamento,ano,cliente_key,forma_pagamento,status_pagamento,valor,valor_aprovado,parcelas,quantidade_pagamentos,cliente_sk,_gold_record_hash,_gold_airflow_run_id,_gold_processed_at
6235,6235,896,20250309,2025-03-09,2025,12747,cartao_credito,aprovado,738.29,738.29,5,1,c17fec1a19a50335510f394874bb3c994fbf30c79cbb54626d8f085d05d9e3b2,bb4fd7bc6b6a8fb0c5ff601481fdc334deeda3a39ff293bc4c247869c4a86323,manual_run_1,2026-06-24 01:00:04.939
6624,6624,1316,20250623,2025-06-23,2025,5265,cartao_credito,aprovado,637.92,637.92,5,1,12079347ebd62f16dfe48df388f9fae91bb17e6663169640e6326f6f0970ef92,09dfa30a5d089169f65d6dfe4a4f41a9b765a9431e63bc3d46ad7b125241b637,manual_run_1,2026-06-24 01:00:04.939
2122,2122,1875,20250316,2025-03-16,2025,3582,pix,aprovado,2439.83,2439.83,1,1,ea6170c12094bae7ae46d64d9e0d7c82da13de49ddd76150c98f4f6bc4149e8b,741a2823b3f3f29bcbd5494e1e19e424912198416616e9aa779aafabec5a10b8,manual_run_1,2026-06-24 01:00:04.939
10300,10300,2876,20251213,2025-12-13,2025,5191,cartao_credito,aprovado,1910.68,1910.68,1,1,64b95c169bdbf2b4b3ad80db11beffc00789a4ebfb3d240d5688bf1507d22f9b,f79e6689579c303a478a8f09fda767b8c8aedb363d40d4f4006bac74f83f3081,manual_run_1,2026-06-24 01:00:04.939
10776,10776,3412,20250220,2025-02-20,2025,14420,cartao_debito,aprovado,2593.33,2593.33,1,1,1c03a2c2151402578ad40160775c022d43e6983ac0d7c94aa02b36db474d82b2,297c22ba73c4364ad36c427961fc64611957010d2b86cac3f3072cb6c0326ca0,manual_run_1,2026-06-24 01:00:04.939
13156,13156,5818,20250508,2025-05-08,2025,5515,cartao_credito,aprovado,2317.59,2317.59,1,1,3ffc4ad204b5e6e0b1a6c6d70c30acddadbff3dc6fa2d533e5a9806e4397d99f,9452f35c084f3dccec284218d81ab95f7926d26ce7d11cf8dea3915795e233d0,manual_run_1,2026-06-24 01:00:04.939
14582,14582,7079,20250511,2025-05-11,2025,626,cartao_credito,aprovado,2831.21,2831.21,12,1,bee960e2d8946344dbf294e9b19022b912c397b857e99316b07613333272e6e1,d95ad7236983caef52f0924b0d1efd4b0d92a2c542e39faf36a0915b91babe96,manual_run_1,2026-06-24 01:00:04.939
1550,1550,8120,20250511,2025-05-11,2025,5174,cartao_credito,aprovado,1145.9,1145.9,3,1,e7cf5aff8699cf4ff92648327d6c9920195e969f6f33a1fc415c3f5b846c79a6,6fd723faa07c4463e3629c202356e747a0136e997a8de82cc6d8e5a02b94be8c,manual_run_1,2026-06-24 01:00:04.939
221,221,8496,20251005,2025-10-05,2025,14689,pix,aprovado,942.25,942.25,1,1,6033b9310a951eaf0009497537ce4de2ce7c7a90873d7dcc0bd411d2b87dfa19,4c98c2496798abbc93f3e60f37fbe26486a4287eb28d9d7b9460df6386b818e4,manual_run_1,2026-06-24 01:00:04.939
12234,12234,9909,20251227,2025-12-27,2025,11496,cartao_credito,aprovado,1835.08,1835.08,3,1,9c58de66b46d7496391bf38b7d50d713745b47e3320423d43804d90a2569dec5,a340ab9c9f1813bb372791c9d9ff9e9ca7be23cf524eafcab30c2011b2e2fa90,manual_run_1,2026-06-24 01:00:04.939
6008,6008,10640,20250614,2025-06-14,2025,6775,boleto,aprovado,1090.52,1090.52,1,1,f87d8557cdb2a9ca8a4621b239783113debe99fe67dc3289ffcbe38eaf4f1969,a6fac492217c962229eb0761ceb46915f6e528e564733ec43a74abaabeb0be66,manual_run_1,2026-06-24 01:00:04.939
10611,10611,11670,20250814,2025-08-14,2025,1123,cartao_credito,aprovado,765.58,765.58,12,1,6919c7c4919c973bf96a551024e1b78f9737d8afd57cee67d2a02facacd54a67,2dcac964810e8cb7794a1cf2f6b462ee935c8803378a3430ae157d324707ea9d,manual_run_1,2026-06-24 01:00:04.939
