venda_key,id_item,id_pedido,data_key,data_pedido,ano,cliente_key,produto_key,cupom_key,status_pedido,quantidade,valor_unitario,desconto_percentual,valor_bruto,valor_desconto,receita_liquida,quantidade_itens_registro,cliente_sk,produto_sk,cupom_sk,_gold_record_hash,_gold_airflow_run_id,_gold_processed_at
14078,14078,10597,20250419,2025-04-19,2025,10670,13818,,entregue,7,2315.8,5.0,16210.6,810.53,15400.07,1,264d8df9804869b7d59b2919cf943f880981bed2fd5fde3d96f7d9383d158813,c70e54219f50a60e1c1310d476c19fff1ec1ef155d9c89415fd9b696895b6d22,,6c57c7791f27d6fcc13fee206c1f1c8973e5ec65759a108574612f6664c07297,manual_run_1,2026-06-24 00:59:51.346
6006,6006,10597,20250419,2025-04-19,2025,10670,13986,,entregue,9,2158.47,2.0,19426.23,388.52,19037.71,1,264d8df9804869b7d59b2919cf943f880981bed2fd5fde3d96f7d9383d158813,cb99b7f7cfbb088c9bf4244b20dda04dec637043c6a0a08ccb9ed01cfe863d72,,977993b1f3e7e0af0cb56615e99b1598cafc1db9bd71206dbfe70e516a924033,manual_run_1,2026-06-24 00:59:51.346
12506,12506,10770,20250208,2025-02-08,2025,11579,14561,,entregue,1,1600.38,16.0,1600.38,256.06,1344.32,1,9dafcaad8b5d263dabbf4277497e4b930a8becde92320d2e0704a9db2c978453,acc21cf421f3319e0c1601883f49d23a68039d0e37dbb55c2bc8a2cabbce38ad,,2786ddf8d78ccba06267660669e8a450198485270a47fd1045131b46a92ca783,manual_run_1,2026-06-24 00:59:51.346
7689,7689,11050,20250103,2025-01-03,2025,1166,8115,,entregue,7,2279.34,1.0,15955.38,159.55,15795.83,1,ec1b56ffd59a60c5d7f144aca24bcb9c57d8242c9fcd04e0c27c97a55544d86f,1217221dc91491ec86b2ce573542713e8905051d98de605d30aba33ec8521477,,e69322bf0dcd9846aaa6ef26b21539ed4d266280751dda2a4050f8482361f045,manual_run_1,2026-06-24 00:59:51.346
3397,3397,1143,20251029,2025-10-29,2025,6753,2878,,processando,2,47.61,22.0,95.22,20.95,74.27,1,0946c0a11b7e16d955b391d01d7741de027eb05ef58d2cde799d579851ae5269,9ef1cf61d95d8908cc3c288579e01a43f663e4be641fadc6a2b9af6422a6b281,,d98536717ac0c56016b37caea331a5d96cd7a577662995776296baa4745bc715,manual_run_1,2026-06-24 00:59:51.346
9666,9666,1143,20251029,2025-10-29,2025,6753,13221,,processando,1,462.5,4.0,462.5,18.5,444.0,1,0946c0a11b7e16d955b391d01d7741de027eb05ef58d2cde799d579851ae5269,f8c3cdc6e84d5daba71d78824c0e6fcdd0278c679551fd8f715b857c1413b349,,14414e4efc6acd60a3a4c4e7a250eaf89025db981abd6268834052e94fa61df7,manual_run_1,2026-06-24 00:59:51.346
1036,1036,11554,20250525,2025-05-25,2025,12378,3784,,entregue,2,567.8,18.0,1135.6,204.41,931.19,1,cff30719284803d04d42a09f87ce0470f6b870436183375713a196e4cb836b77,5e956274c800035fc646074b936e82bb2a229fa4c5415fceb3a7939e6900598d,,0d6a9aea31e0bbe0c4da0cc740352b3a678d24a4d7134a7a2d919dafdc90c116,manual_run_1,2026-06-24 00:59:51.346
1144,1144,11554,20250525,2025-05-25,2025,12378,7787,,entregue,3,357.5,13.0,1072.5,139.42,933.08,1,cff30719284803d04d42a09f87ce0470f6b870436183375713a196e4cb836b77,ceed8aecb6566d4ee2b4dfe170c15288cf17692fc793759f50741b9d955eedfe,,cecf39d19963d0cc65161e993b62b5a010faea32bf10e53430a1b4bb47a17e4b,manual_run_1,2026-06-24 00:59:51.346
10417,10417,11675,20251104,2025-11-04,2025,2169,5021,,entregue,6,1226.08,4.0,7356.48,294.26,7062.22,1,00c33fff8d54e843069c53b1c153a24d409a622f4630513f5b8ff74cf7786462,2290d3e8ae1abce7f10c3c6f13e1e102ec43d029b31bc8b6d0bfd78d7199ae0c,,a7cdca232d24f5c2c3e7ca40c1230c772ef59c53e284c977c0cb06ba5d328b42,manual_run_1,2026-06-24 00:59:51.346
452,452,11675,20251104,2025-11-04,2025,2169,13497,,entregue,3,762.5,14.0,2287.5,320.25,1967.25,1,00c33fff8d54e843069c53b1c153a24d409a622f4630513f5b8ff74cf7786462,4f60dc5f690ddc37f772f5c4c465cfa90572da290d2f0f5a76a64ba5f96878ad,,3c39f6456b290945e0be0f2ee1e4fb6baabc7d5e8b6a25c44c4201f8cbb76849,manual_run_1,2026-06-24 00:59:51.346
1329,1329,11787,20250720,2025-07-20,2025,7456,7991,,enviado,6,261.76,18.0,1570.56,282.7,1287.86,1,a34f131d40aed0ffc5053f96fd4c8b99355dadd566ae8a8b96af2e2c5f6bd340,bf66d7918ca9b65abf8fd4be644178cb657d1e90f689e12cd1ff17e85e025d24,,62917feabfdf34ccc3ec1d8df6dc645ad25537a674e8e288a231817bc7c6000e,manual_run_1,2026-06-24 00:59:51.346
14895,14895,11787,20250720,2025-07-20,2025,7456,10205,,enviado,8,1358.1,27.0,10864.8,2933.5,7931.3,1,a34f131d40aed0ffc5053f96fd4c8b99355dadd566ae8a8b96af2e2c5f6bd340,124a029b203d41fe29769eb571d3259b17921338d3b0e83f32be68d43ec7a1ec,,f615d6421c4ae8f0a9fa334808d63b3f326068c5592beedf06c3e2cbccea3e7c,manual_run_1,2026-06-24 00:59:51.346
3695,3695,13599,20250306,2025-03-06,2025,14449,10476,,entregue,9,17.81,17.0,160.29,27.25,133.04,1,8020c98da797fcad5eb40958fca3eb5afb638cb16933df92196019a07825c134,2b00cc23b30adfc4e853b9007f8936ea644a5fc7bb7bbf764f0b6b9640492a07,,2905a444aa8e95801d41c1959bfc1266e53fdc963c5d92624371d4c910c6c5f0,manual_run_1,2026-06-24 00:59:51.346
14102,14102,14028,20250121,2025-01-21,2025,13430,9337,,enviado,5,2515.49,14.0,12577.45,1760.84,10816.61,1,7138a422eb2e9d1c5d784ca520091d29c3deee44df709a565bc18eaf9f285450,c3dc7ca65b42d94e498bb1de2030d33bc4627268ebf920dcc461a2a67ddb48c6,,2878c126c076c84119792ecb2398b78cbcba059543fbc56f87fc0eb6d81ed43d,manual_run_1,2026-06-24 00:59:51.346
720,720,4633,20251009,2025-10-09,2025,13624,10309,,enviado,5,2845.17,11.0,14225.85,1564.84,12661.01,1,9f64303e9cc7ff7b5ae72de8cc3bcf72b9d3b3e326bce244f8e4249f7efa6184,20a50cf6818062a3ac2cb0c8f4e0f961bc9557b9e25710e46e09df1fb7a0c5e1,,61ac589dfa9f5eb79f496acdcd1fc30bb0b462b7c5e298debd81bd24d1e61f26,manual_run_1,2026-06-24 00:59:51.346
6816,6816,488,20251109,2025-11-09,2025,6279,801,,entregue,1,760.29,23.0,760.29,174.87,585.42,1,48a94fa5ae9945fa6f89bf0419c149741176195823999004a48e7bda5d2963b8,6783c18bae7d811f70fe88f4e8b8ee3f2e45fb79a3d110b328dc23f8e1c57bf1,,0b121292c9a9db52473562c09d309809e80974ef13ae19c93863e75cda0dbb8a,manual_run_1,2026-06-24 00:59:51.346
12608,12608,488,20251109,2025-11-09,2025,6279,9751,,entregue,1,1595.03,26.0,1595.03,414.71,1180.32,1,48a94fa5ae9945fa6f89bf0419c149741176195823999004a48e7bda5d2963b8,8b78fcd61851abc30ab1323352ad623ea1a5e6d74c868c92b9362f6a5a18fa75,,619d9288f8ffb0a61d1841a67b450a39946a9392586b2e3a028dbd0712763ed9,manual_run_1,2026-06-24 00:59:51.346
