id_avaliacao,id_pedido,id_cliente,id_produto,nota,comentario,data_avaliacao,updated_at
1,10395,14524,5814,3,"Produto ok, dentro do esperado.",2025-09-12T00:00:00,2026-02-17T00:00:00
2,8002,4471,6059,5,"Produto conforme descrito, embalagem perfeita.",2024-09-20T00:00:00,2025-06-18T00:00:00
3,6106,7533,13257,2,Demorou muito para chegar e veio errado.,2023-03-26T00:00:00,2025-05-14T00:00:00
4,890,11131,1262,2,"Péssima experiência, não voltarei a comprar.",2025-12-14T00:00:00,2026-01-29T00:00:00
5,2029,1685,10834,1,"Péssima experiência, não voltarei a comprar.",2024-08-14T00:00:00,2025-03-19T00:00:00
6,3993,10670,2630,4,"Produto excelente, superou minhas expectativas!",2023-01-08T00:00:00,2023-06-27T00:00:00
7,8261,12835,12103,5,"Produto excelente, superou minhas expectativas!",2026-01-28T00:00:00,2026-05-19T00:00:00
8,12270,5531,9373,5,"Produto excelente, superou minhas expectativas!",2025-09-05T00:00:00,2026-02-16T00:00:00
9,5105,7195,14866,4,Entrega rápida e produto de ótima qualidade.,2026-05-20T00:00:00,2026-05-31T00:00:00
10,6944,8186,8762,4,Comprei e já quero comprar de novo. Perfeito!,2025-12-25T00:00:00,2026-05-20T00:00:00
11,9119,11324,8169,5,"Produto excelente, superou minhas expectativas!",2025-10-14T00:00:00,2026-01-09T00:00:00
12,11108,4267,3197,4,"Produto conforme descrito, embalagem perfeita.",2024-01-04T00:00:00,2026-05-17T00:00:00
13,2641,1893,9135,4,"Produto conforme descrito, embalagem perfeita.",2025-04-04T00:00:00,2025-12-04T00:00:00
14,14663,2105,12759,3,Qualidade mediana pelo preço cobrado.,2026-02-18T00:00:00,2026-05-19T00:00:00
15,11204,2921,10379,5,"Produto conforme descrito, embalagem perfeita.",2024-09-08T00:00:00,2025-04-05T00:00:00
16,5828,861,4943,4,"Muito satisfeito com a compra, recomendo!",2025-02-17T00:00:00,2025-04-19T00:00:00
17,6802,1990,9247,4,Atendimento incrível e produto top!,2026-05-24T00:00:00,2026-05-24T00:00:00
18,12944,378,2540,4,Atendimento incrível e produto top!,2025-03-23T00:00:00,2025-05-28T00:00:00
19,11506,8298,1345,5,"Ótimo custo-benefício, chegou antes do prazo.",2026-03-22T00:00:00,2026-06-08T00:00:00
20,209,1319,4977,4,"Produto conforme descrito, embalagem perfeita.",2025-02-12T00:00:00,2026-05-12T00:00:00
21,12578,11960,3197,4,Comprei e já quero comprar de novo. Perfeito!,2025-05-28T00:00:00,2025-07-18T00:00:00
22,5986,13959,7883,1,"Péssima experiência, não voltarei a comprar.",2023-06-08T00:00:00,2023-12-01T00:00:00
23,3408,806,6591,5,Entrega rápida e produto de ótima qualidade.,2025-02-15T00:00:00,2025-09-07T00:00:00
24,9763,9881,6312,3,"Poderia ter mais opções, mas está bom.",2023-05-05T00:00:00,2025-11-23T00:00:00
25,7710,1841,3845,3,"Produto ok, dentro do esperado.",2024-06-07T00:00:00,2025-08-08T00:00:00
26,9777,9533,2357,5,"Ótimo custo-benefício, chegou antes do prazo.",2025-04-14T00:00:00,2025-09-21T00:00:00
27,2111,8893,5572,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-06-13T00:00:00,2025-07-19T00:00:00
28,2967,10807,13996,3,"Nada de mais, mas cumpre o que promete.",2025-03-18T00:00:00,2025-09-21T00:00:00
29,12840,13077,3820,5,"Muito satisfeito com a compra, recomendo!",2025-11-24T00:00:00,2025-12-08T00:00:00
30,11843,1059,2826,3,Qualidade mediana pelo preço cobrado.,2024-09-25T00:00:00,2025-04-25T00:00:00
31,5027,5534,4874,5,Entrega rápida e produto de ótima qualidade.,2025-06-22T00:00:00,2025-10-16T00:00:00
32,6063,2740,2239,4,"Ótimo custo-benefício, chegou antes do prazo.",2025-03-01T00:00:00,2026-04-27T00:00:00
33,4164,8194,5753,5,"Produto excelente, superou minhas expectativas!",2023-06-27T00:00:00,2026-02-27T00:00:00
34,8616,720,13186,5,"Muito satisfeito com a compra, recomendo!",2026-02-18T00:00:00,2026-03-21T00:00:00
35,3110,8185,9603,5,Comprei e já quero comprar de novo. Perfeito!,2025-05-25T00:00:00,2025-10-08T00:00:00
36,7823,13609,5122,4,"Muito satisfeito com a compra, recomendo!",2024-11-14T00:00:00,2025-12-06T00:00:00
37,13519,863,4978,5,"Produto conforme descrito, embalagem perfeita.",2023-09-21T00:00:00,2026-02-11T00:00:00
38,9279,14670,13413,4,"Produto excelente, superou minhas expectativas!",2025-04-19T00:00:00,2025-12-24T00:00:00
39,10093,33,5952,4,"Produto excelente, superou minhas expectativas!",2024-07-09T00:00:00,2024-09-18T00:00:00
40,9160,11526,2481,5,Atendimento incrível e produto top!,2025-11-05T00:00:00,2026-04-28T00:00:00
41,12582,4559,3449,5,Atendimento incrível e produto top!,2024-03-04T00:00:00,2024-08-08T00:00:00
42,11806,9920,14069,5,"Ótimo custo-benefício, chegou antes do prazo.",2025-01-04T00:00:00,2025-07-29T00:00:00
43,2318,12064,3625,3,"Nada de mais, mas cumpre o que promete.",2024-01-14T00:00:00,2026-05-09T00:00:00
44,194,14722,4785,5,"Produto excelente, superou minhas expectativas!",2024-07-13T00:00:00,2024-08-16T00:00:00
45,12293,1401,829,2,"Péssima experiência, não voltarei a comprar.",2023-04-10T00:00:00,2025-01-07T00:00:00
46,3868,5611,6244,5,"Muito satisfeito com a compra, recomendo!",2024-04-10T00:00:00,2025-08-20T00:00:00
47,10626,10588,13145,4,Entrega rápida e produto de ótima qualidade.,2026-05-21T00:00:00,2026-05-31T00:00:00
48,6242,14406,4059,5,"Produto conforme descrito, embalagem perfeita.",2023-01-03T00:00:00,2023-01-18T00:00:00
49,2057,6225,11075,4,"Muito satisfeito com a compra, recomendo!",2025-10-12T00:00:00,2026-02-10T00:00:00
50,1531,14849,306,5,"Produto excelente, superou minhas expectativas!",2023-07-07T00:00:00,2024-12-09T00:00:00
