id_categoria,nome_categoria,descricao,updated_at
1,Papelaria,Itens exclusivos e limitados,2023-03-08T00:00:00
2,Móveis,Produtos de alta qualidade para o dia a dia,2026-03-29T00:00:00
3,Beleza,Coleção completa para todos os gostos,2025-08-05T00:00:00
4,Pesca,As melhores marcas e preços do mercado,2024-07-22T00:00:00
5,Roupas,Coleção completa para todos os gostos,2025-12-02T00:00:00
6,Alimentos,Seleção especial com ótimo custo-benefício,2023-06-05T00:00:00
7,Relógios,Produtos de alta qualidade para o dia a dia,2025-01-09T00:00:00
8,Ferramentas,Novidades e lançamentos da temporada,2023-10-12T00:00:00
9,Saúde,Produtos importados e nacionais,2025-05-12T00:00:00
10,Pesca,Coleção completa para todos os gostos,2024-06-21T00:00:00
11,Casa & Jardim,Novidades e lançamentos da temporada,2024-09-12T00:00:00
12,Games,Seleção especial com ótimo custo-benefício,2025-07-24T00:00:00
13,Informática,Itens exclusivos e limitados,2026-06-10T00:00:00
14,Roupas,Produtos de alta qualidade para o dia a dia,2026-04-08T00:00:00
15,Esportes,Seleção especial com ótimo custo-benefício,2023-10-02T00:00:00
16,Limpeza,Novidades e lançamentos da temporada,2024-09-12T00:00:00
17,Jóias,Novidades e lançamentos da temporada,2024-05-06T00:00:00
18,Viagem,Coleção completa para todos os gostos,2026-01-29T00:00:00
19,Ferramentas,Variedade completa para todas as necessidades,2025-08-20T00:00:00
20,Cinema,Novidades e lançamentos da temporada,2026-04-12T00:00:00
21,Camping,As melhores marcas e preços do mercado,2025-10-24T00:00:00
22,Pesca,Itens exclusivos e limitados,2024-04-04T00:00:00
23,Esportes,Produtos de alta qualidade para o dia a dia,2023-03-17T00:00:00
24,Móveis,Variedade completa para todas as necessidades,2024-09-08T00:00:00
25,Bebidas,As melhores marcas e preços do mercado,2023-06-15T00:00:00
26,Saúde,Novidades e lançamentos da temporada,2026-03-07T00:00:00
27,Limpeza,As melhores marcas e preços do mercado,2026-05-16T00:00:00
28,Livros,Coleção completa para todos os gostos,2023-07-17T00:00:00
29,Casa & Jardim,Novidades e lançamentos da temporada,2024-01-27T00:00:00
30,Ferramentas,Coleção completa para todos os gostos,2025-04-28T00:00:00
31,Esportes - Doloribus,As melhores marcas e preços do mercado,2024-07-16T00:00:00
32,Música - Vitae,As melhores marcas e preços do mercado,2025-12-04T00:00:00
33,Camping - Incidunt,Produtos importados e nacionais,2023-09-02T00:00:00
34,Informática - Ut,As melhores marcas e preços do mercado,2024-09-11T00:00:00
35,Viagem - Magni,As melhores marcas e preços do mercado,2023-12-23T00:00:00
36,Móveis - Deleniti,Novidades e lançamentos da temporada,2024-12-12T00:00:00
37,Ferramentas - Odit,Produtos de alta qualidade para o dia a dia,2024-04-03T00:00:00
38,Bebidas - Excepturi,Novidades e lançamentos da temporada,2023-03-31T00:00:00
39,Culinária - Nulla,Seleção especial com ótimo custo-benefício,2024-10-16T00:00:00
40,Calçados - Sint,Coleção completa para todos os gostos,2024-06-20T00:00:00
41,Saúde - Minus,As melhores marcas e preços do mercado,2026-04-08T00:00:00
42,Saúde - Aperiam,Seleção especial com ótimo custo-benefício,2025-10-12T00:00:00
43,Relógios - Reprehenderit,Produtos importados e nacionais,2025-12-11T00:00:00
44,Decoração - Ab,Coleção completa para todos os gostos,2025-09-15T00:00:00
45,Calçados - Ex,Coleção completa para todos os gostos,2023-12-07T00:00:00
46,Viagem - Deleniti,Itens exclusivos e limitados,2025-08-03T00:00:00
47,Games - Earum,Novidades e lançamentos da temporada,2025-05-11T00:00:00
48,Bebidas - Incidunt,Coleção completa para todos os gostos,2025-03-05T00:00:00
49,Bebê - Quidem,Coleção completa para todos os gostos,2023-12-06T00:00:00
50,Livros - Maiores,Produtos de alta qualidade para o dia a dia,2025-04-30T00:00:00
51,Camping - Excepturi,Coleção completa para todos os gostos,2023-01-06T00:00:00
52,Bebidas - Ipsam,Produtos de alta qualidade para o dia a dia,2023-05-13T00:00:00
53,Pet Shop - Vel,As melhores marcas e preços do mercado,2023-07-09T00:00:00
54,Livros - Quo,Coleção completa para todos os gostos,2026-05-30T00:00:00
55,Pesca - Odio,As melhores marcas e preços do mercado,2025-09-20T00:00:00
56,Informática - Nostrum,Coleção completa para todos os gostos,2025-06-12T00:00:00
57,Alimentos - Optio,Coleção completa para todos os gostos,2024-06-14T00:00:00
58,Ferramentas - At,As melhores marcas e preços do mercado,2024-11-03T00:00:00
59,Relógios - Ullam,Novidades e lançamentos da temporada,2024-05-01T00:00:00
60,Música - Reprehenderit,Seleção especial com ótimo custo-benefício,2023-03-09T00:00:00
61,Cinema - Itaque,Coleção completa para todos os gostos,2026-04-20T00:00:00
62,Eletrônicos - Provident,Produtos importados e nacionais,2023-08-27T00:00:00
63,Ferramentas - Dolore,Produtos importados e nacionais,2024-05-19T00:00:00
64,Culinária - Et,Produtos de alta qualidade para o dia a dia,2023-07-02T00:00:00
65,Música - Neque,Variedade completa para todas as necessidades,2026-02-01T00:00:00
66,Pesca - Excepturi,As melhores marcas e preços do mercado,2024-08-07T00:00:00
67,Viagem - Amet,As melhores marcas e preços do mercado,2025-09-04T00:00:00
68,Pet Shop - Aliquid,Itens exclusivos e limitados,2026-05-03T00:00:00
69,Limpeza - Praesentium,Novidades e lançamentos da temporada,2024-01-29T00:00:00
