id_entrega,id_pedido,status_entrega,data_envio,data_entrega_prevista,data_entrega_real,transportadora,codigo_rastreio,updated_at
1,8730,entregue,2026-01-14T00:00:00,2026-01-30,2026-02-02,DHL,JO899902951BR,2026-04-17T00:00:00
2,9710,entregue,2023-11-22T00:00:00,2023-12-02,2023-12-05,Total Express,QZ293671296BR,2024-11-17T00:00:00
3,10387,pendente,2025-10-20T00:00:00,2025-10-26,,FedEx,ON023466083BR,2025-12-21T00:00:00
4,637,em_transito,2023-08-11T00:00:00,2023-08-14,,Azul Cargo,JS503491412BR,2024-07-14T00:00:00
5,2471,entregue,2023-10-25T00:00:00,2023-10-31,2023-10-30,DHL,TN287591915BR,2026-03-06T00:00:00
6,9296,entregue,2025-05-30T00:00:00,2025-06-19,2025-06-21,Correios,HK099022323BR,2025-07-30T00:00:00
7,2462,entregue,2023-12-04T00:00:00,2023-12-10,2023-12-11,Total Express,YV687290964BR,2025-12-04T00:00:00
8,3232,devolvido,2023-08-19T00:00:00,2023-08-25,2023-09-02,Azul Cargo,IT091944304BR,2023-11-25T00:00:00
9,12856,entregue,2026-06-03T00:00:00,2026-06-06,2026-06-05,Latam Cargo,ZV781932746BR,2026-06-03T00:00:00
10,4015,entregue,2023-09-16T00:00:00,2023-10-06,2023-10-11,Total Express,DJ672342533BR,2026-05-27T00:00:00
11,4488,entregue,2024-04-25T00:00:00,2024-05-03,2024-05-06,JadLog,ME271798000BR,2025-02-15T00:00:00
12,12111,entregue,2025-03-27T00:00:00,2025-04-12,2025-04-15,Total Express,CB647183915BR,2025-08-18T00:00:00
13,2032,entregue,2023-07-20T00:00:00,2023-07-31,2023-07-30,Correios,KC138037908BR,2023-09-15T00:00:00
14,1190,entregue,2024-01-24T00:00:00,2024-02-05,2024-02-08,Loggi,NE663472214BR,2024-05-05T00:00:00
15,9744,pendente,2023-04-20T00:00:00,2023-04-28,,JadLog,PD862102373BR,2023-09-26T00:00:00
16,5855,entregue,2024-11-11T00:00:00,2024-11-15,2024-11-18,Latam Cargo,CD183617239BR,2026-04-02T00:00:00
17,8143,entregue,2023-06-05T00:00:00,2023-06-20,2023-06-18,Latam Cargo,HF103748663BR,2025-06-23T00:00:00
18,1858,entregue,2026-03-21T00:00:00,2026-04-07,2026-04-06,JadLog,RN094042475BR,2026-04-23T00:00:00
19,5553,entregue,2023-07-06T00:00:00,2023-07-22,2023-07-26,JadLog,ZI121622212BR,2026-03-12T00:00:00
20,7320,em_transito,2024-02-05T00:00:00,2024-02-20,,Latam Cargo,IK318618389BR,2025-07-06T00:00:00
21,7931,entregue,2025-09-12T00:00:00,2025-10-02,2025-10-07,Loggi,US867403140BR,2025-10-06T00:00:00
22,9816,entregue,2025-04-16T00:00:00,2025-04-21,2025-04-22,DHL,QP214375803BR,2025-06-25T00:00:00
23,9870,entregue,2024-10-17T00:00:00,2024-10-28,2024-10-30,FedEx,YF888289680BR,2025-10-23T00:00:00
24,14072,entregue,2025-11-02T00:00:00,2025-11-05,2025-11-06,Latam Cargo,HP312876988BR,2026-02-12T00:00:00
25,12418,pendente,2023-09-01T00:00:00,2023-09-08,,DHL,CT720302308BR,2026-03-10T00:00:00
26,5706,em_transito,2024-08-02T00:00:00,2024-08-06,,Total Express,XR249452709BR,2024-09-11T00:00:00
27,4243,entregue,2026-02-09T00:00:00,2026-02-14,2026-02-12,Loggi,CC087793481BR,2026-04-08T00:00:00
