id_fornecedor,nome_fornecedor,cnpj,email,telefone,logradouro,cidade,estado,cep,updated_at
1,da Luz Rocha e Filhos,15.203.864/0001-88,antonellamelo@jesus.net,+55 (081) 5556-1876,Travessa da Cruz,Costa,GO,13444429,2023-11-06T00:00:00
2,Almeida Ltda.,39.806.421/0001-40,brunapeixoto@cassiano.gov.br,+55 84 8622-6129,"Fazenda Igor Pereira, 9",Lopes,MT,21140567,2023-07-27T00:00:00
3,Rios S.A.,17.506.483/0001-01,theo14@viana.net,+55 21 8802-0824,"Pátio da Mota, 7",Cunha,CE,33142862,2026-03-19T00:00:00
4,Machado - ME,02.365.879/0001-09,noah59@casa.gov.br,+55 41 0406 5467,"Campo Oliveira, 13",Sá,PA,02449-100,2023-02-25T00:00:00
5,Souza Costela - EI,61.592.307/0001-13,fernandanovais@goncalves.org,+55 (011) 7197 5334,"Parque Noah Pinto, 6",Borges,AP,01738-240,2025-04-13T00:00:00
6,Rodrigues Fonseca Ltda.,82.013.457/0001-03,sgomes@montenegro.gov.br,(021) 9174 5273,"Morro Duarte, 228",Ramos do Norte,BA,56388472,2023-07-31T00:00:00
7,Cardoso da Mota S/A,91.276.850/0001-72,viniciusda-luz@cardoso.com,11 0807-7681,"Lagoa Montenegro, 862",Rodrigues de Vasconcelos,PR,22334-137,2024-10-15T00:00:00
8,Martins,14.967.520/0001-82,luiza71@moreira.net,+55 (061) 8954-2056,"Rodovia José Miguel Moraes, 3",Camargo,PB,69183-977,2026-04-04T00:00:00
9,Silva,02.869.375/0001-18,yanda-conceicao@brito.com.br,61 9765-3828,Chácara Natália Alves,Alves Paulista,DF,44861-500,2025-04-23T00:00:00
10,Castro da Conceição e Filhos,17.680.593/0001-87,sborges@sampaio.com.br,51 4517 3291,"Morro Cirino, 42",Abreu do Campo,MT,36896495,2024-02-14T00:00:00
11,Dias Aragão S/A,18.796.520/0001-18,anavieira@cavalcante.org,(061) 3112-0928,"Lagoa Emanuella Souza, 5",Machado,MT,54774000,2024-11-18T00:00:00
12,Almeida - EI,46.937.205/0001-07,esantos@goncalves.org,+55 (021) 8910 5176,Rua Benjamim Siqueira,Rodrigues,AP,90937355,2025-05-25T00:00:00
13,Santos - EI,19.362.478/0001-90,caparecida@barros.com,+55 (031) 9893-8999,"Feira da Paz, 3",Pacheco dos Dourados,SE,77049-153,2025-11-26T00:00:00
14,Vargas,28.901.754/0001-31,vasconcelosmilena@pires.net,+55 51 7784 3063,"Lagoa Samuel Ferreira, 26",Costela,MG,77527861,2025-10-04T00:00:00
15,Sá S.A.,73.085.296/0001-64,oaparecida@ribeiro.com,+55 11 3680 8534,"Sítio de da Mota, 43",Aragão Paulista,DF,83756551,2023-06-16T00:00:00
16,Pinto - ME,72.410.653/0001-50,isaacpastor@cunha.br,+55 41 0732-6174,"Favela de Aragão, 26",Macedo das Pedras,ES,81398-935,2026-03-19T00:00:00
17,Nogueira S/A,30.821.967/0001-03,kevinda-luz@melo.gov.br,0900-415-1397,"Fazenda de da Paz, 4",Novais do Campo,DF,17679863,2023-03-13T00:00:00
18,Borges Moreira S.A.,67.043.189/0001-70,davi-miguel19@cardoso.net,+55 (061) 0320 1247,"Travessa de da Cunha, 37",Aparecida,AP,18577505,2023-07-13T00:00:00
19,Sá,61.053.872/0001-02,inovais@dias.gov.br,(021) 9325-0892,"Morro Vinicius Azevedo, 836",Peixoto,GO,07988583,2024-01-25T00:00:00
20,Barros,87.541.632/0001-40,guerrafelipe@viana.edu.br,+55 (061) 6624-2994,"Lago de Fonseca, 626",Rodrigues Paulista,MA,35104725,2024-08-03T00:00:00
21,Cunha,98.574.216/0001-65,ana-carolina79@cassiano.com.br,+55 41 4371 4726,Área Pinto,da Mota Grande,CE,82504046,2024-06-09T00:00:00
22,Aparecida,02.941.576/0001-89,henry30@araujo.org,+55 (011) 8149-9861,"Campo Castro, 7",Alves do Norte,AC,56292-045,2023-08-30T00:00:00
23,das Neves - ME,74.891.063/0001-11,francisco34@rezende.org,(041) 3140 4149,"Quadra de da Mota, 21",Viana do Amparo,RR,12745146,2024-07-01T00:00:00
