id_item,id_pedido,id_produto,quantidade,valor_unitario,desconto_percentual,subtotal,updated_at
1,13237,7922,5,857.33,5.0,4072.32,2024-04-15T00:00:00
2,12983,14084,8,2656.84,29.0,15090.85,2023-03-26T00:00:00
3,761,3923,2,2000.68,6.0,3761.28,2025-03-09T00:00:00
4,5016,10232,1,1243.18,22.0,969.68,2023-09-25T00:00:00
5,792,9836,3,1541.97,17.0,3839.51,2026-04-21T00:00:00
6,9287,3588,10,333.72,9.0,3036.85,2023-02-11T00:00:00
7,3646,2101,5,2351.74,16.0,9877.31,2023-05-16T00:00:00
8,9488,10582,5,2710.39,6.0,12738.83,2024-02-05T00:00:00
9,6168,1434,2,1505.61,24.0,2288.53,2025-01-21T00:00:00
10,11818,1496,9,1943.06,1.0,17312.66,2026-02-17T00:00:00
11,9194,9112,2,533.09,12.0,938.24,2024-10-07T00:00:00
12,11370,13754,7,2949.51,23.0,15897.86,2026-01-22T00:00:00
13,1272,8363,3,1018.79,10.0,2750.73,2025-07-31T00:00:00
14,8663,2180,10,2651.77,1.0,26252.52,2024-06-06T00:00:00
15,1456,8988,2,2569.41,7.0,4779.1,2026-02-12T00:00:00
16,6989,1772,7,147.57,14.0,888.37,2023-02-02T00:00:00
17,14576,1119,1,1741.9,23.0,1341.26,2024-02-28T00:00:00
18,2296,11027,3,1130.4,13.0,2950.34,2025-10-06T00:00:00
19,14140,10288,4,1694.24,0.0,6776.96,2024-11-17T00:00:00
20,12514,5558,4,55.53,22.0,173.25,2025-09-01T00:00:00
21,12185,9041,2,2606.96,9.0,4744.67,2024-04-19T00:00:00
22,5666,4393,9,1945.74,5.0,16636.08,2025-11-29T00:00:00
23,8632,5211,1,483.27,12.0,425.28,2024-02-24T00:00:00
24,4068,1169,4,1576.18,3.0,6115.58,2023-10-27T00:00:00
25,10500,13744,1,1605.3,21.0,1268.19,2023-07-30T00:00:00
26,6906,3119,4,1672.5,25.0,5017.5,2024-05-10T00:00:00
27,6561,9209,10,2502.78,19.0,20272.52,2026-02-19T00:00:00
28,5961,6128,9,931.24,9.0,7626.86,2026-03-30T00:00:00
29,9619,9258,8,1272.99,26.0,7536.1,2023-12-09T00:00:00
30,11442,4949,1,1199.63,26.0,887.73,2023-11-11T00:00:00
31,9397,8586,8,1541.76,1.0,12210.74,2026-05-09T00:00:00
32,12123,2466,4,2340.33,5.0,8893.25,2023-03-21T00:00:00
33,10281,10961,10,1021.95,0.0,10219.5,2023-11-28T00:00:00
34,4213,11682,3,654.69,28.0,1414.13,2025-07-05T00:00:00
35,8345,12040,2,1773.63,18.0,2908.75,2024-05-02T00:00:00
36,13555,6772,10,2057.38,16.0,17281.99,2025-06-04T00:00:00
37,9272,709,4,21.26,8.0,78.24,2023-07-13T00:00:00
38,8531,3408,3,1231.73,7.0,3436.53,2026-04-24T00:00:00
39,1534,1152,10,1547.64,16.0,13000.18,2026-02-16T00:00:00
40,3473,13228,8,2405.32,20.0,15394.05,2024-06-25T00:00:00
41,12769,9510,3,1268.0,2.0,3727.92,2023-09-05T00:00:00
42,7739,3959,3,940.38,29.0,2003.01,2024-02-11T00:00:00
43,1607,12990,7,71.39,5.0,474.74,2024-01-05T00:00:00
44,7449,9182,10,1615.12,29.0,11467.35,2025-10-05T00:00:00
45,3606,10649,6,2329.3,21.0,11040.88,2024-12-14T00:00:00
46,14427,62,9,194.97,25.0,1316.05,2025-03-05T00:00:00
47,14598,6284,8,2169.78,1.0,17184.66,2026-01-02T00:00:00
48,9256,9190,2,2511.1,15.0,4268.87,2025-06-15T00:00:00
49,3450,9203,4,1169.52,30.0,3274.66,2025-11-24T00:00:00
50,673,1284,2,844.18,23.0,1300.04,2024-12-12T00:00:00
51,9664,2057,4,2357.76,10.0,8487.94,2026-01-14T00:00:00
52,11722,8998,10,891.04,28.0,6415.49,2023-08-11T00:00:00
53,3135,451,10,1364.94,3.0,13239.92,2024-01-23T00:00:00
54,3468,2660,8,298.63,23.0,1839.56,2025-09-22T00:00:00
55,1952,801,4,876.18,8.0,3224.34,2026-02-27T00:00:00
56,12602,8562,4,1295.34,25.0,3886.02,2026-03-20T00:00:00
57,8842,8534,2,1850.84,11.0,3294.5,2026-06-02T00:00:00
58,14479,7484,6,56.14,29.0,239.16,2025-09-16T00:00:00
59,4381,719,8,2584.7,10.0,18609.84,2023-01-14T00:00:00
60,10973,5280,2,360.68,15.0,613.16,2024-10-26T00:00:00
61,1319,1485,1,2613.12,14.0,2247.28,2026-03-07T00:00:00
62,13115,12845,9,2165.66,0.0,19490.94,2023-06-29T00:00:00
63,10713,7916,6,971.04,15.0,4952.3,2025-10-26T00:00:00
64,3012,1165,3,2308.59,30.0,4848.04,2025-12-08T00:00:00
65,285,2168,9,435.48,17.0,3253.04,2023-02-27T00:00:00
66,1593,6108,9,1917.31,18.0,14149.75,2024-07-15T00:00:00
67,7910,7357,5,1466.86,24.0,5574.07,2023-11-10T00:00:00
68,5763,12068,3,692.92,23.0,1600.65,2024-04-27T00:00:00
69,10842,5471,6,18.38,27.0,80.5,2026-02-02T00:00:00
70,8192,5287,10,1018.68,24.0,7741.97,2024-07-10T00:00:00
71,10902,235,1,2406.09,20.0,1924.87,2023-04-30T00:00:00
72,14790,12006,2,2403.8,16.0,4038.38,2024-05-07T00:00:00
73,14471,8583,9,100.62,4.0,869.36,2024-01-28T00:00:00
74,6209,3823,3,238.72,9.0,651.71,2024-07-01T00:00:00
75,14174,2711,6,689.09,14.0,3555.7,2024-06-25T00:00:00
76,4992,13112,6,815.9,8.0,4503.77,2024-05-14T00:00:00
77,10830,7958,5,2378.11,3.0,11533.83,2025-11-22T00:00:00
78,5676,13316,5,2547.09,16.0,10697.78,2025-01-11T00:00:00
79,10880,6655,9,1230.02,26.0,8191.93,2024-03-01T00:00:00
80,9945,2627,1,1519.34,13.0,1321.83,2025-01-03T00:00:00
81,3039,4571,4,214.1,12.0,753.63,2023-10-20T00:00:00
82,170,5683,2,826.74,19.0,1339.32,2024-07-19T00:00:00
83,14213,5129,6,1430.66,26.0,6352.13,2024-12-31T00:00:00
84,4480,5525,5,2039.56,7.0,9483.95,2024-06-04T00:00:00
85,9731,13532,4,2682.4,22.0,8369.09,2023-11-25T00:00:00
86,10023,809,5,1040.69,27.0,3798.52,2026-04-11T00:00:00
87,9879,4131,7,153.54,19.0,870.57,2026-01-03T00:00:00
88,6668,2411,6,2642.29,16.0,13317.14,2024-04-25T00:00:00
89,13635,1078,7,735.31,2.0,5044.23,2025-08-06T00:00:00
90,1435,11241,3,489.07,16.0,1232.46,2023-04-16T00:00:00
91,5716,7121,8,564.47,3.0,4380.29,2023-09-12T00:00:00
92,5420,11216,3,578.16,24.0,1318.2,2024-08-22T00:00:00
93,6754,13916,7,2696.69,12.0,16611.61,2023-07-19T00:00:00
94,10872,13771,8,2873.72,28.0,16552.63,2025-04-28T00:00:00
95,4504,7265,1,2696.99,25.0,2022.74,2026-02-27T00:00:00
96,8251,1217,7,2755.19,30.0,13500.43,2025-01-28T00:00:00
97,1247,9324,8,1939.05,17.0,12875.29,2025-10-01T00:00:00
98,12989,6680,9,1892.47,0.0,17032.23,2025-10-31T00:00:00
99,10028,12973,7,2630.7,29.0,13074.58,2024-08-15T00:00:00
100,3658,118,3,2079.02,11.0,5550.98,2025-09-14T00:00:00
101,14856,6145,8,1228.24,11.0,8745.07,2026-04-16T00:00:00
102,9208,12106,4,2878.33,12.0,10131.72,2023-11-14T00:00:00
103,4188,4079,1,2246.32,18.0,1841.98,2024-06-20T00:00:00
104,10241,8165,1,903.45,6.0,849.24,2025-12-27T00:00:00
105,6746,17,6,24.15,21.0,114.47,2025-02-06T00:00:00
106,1815,8494,8,2012.48,10.0,14489.86,2023-06-28T00:00:00
107,11140,14805,7,2527.31,10.0,15922.05,2024-11-25T00:00:00
108,8816,7538,4,81.78,17.0,271.51,2025-04-08T00:00:00
109,8205,7386,7,2653.26,23.0,14301.07,2025-07-19T00:00:00
110,1554,13983,9,1673.28,13.0,13101.78,2024-11-10T00:00:00
111,6006,6638,10,149.68,9.0,1362.09,2023-12-18T00:00:00
112,4025,5596,3,713.49,23.0,1648.16,2025-08-07T00:00:00
113,1888,4261,5,2137.45,17.0,8870.42,2025-04-15T00:00:00
114,4061,4451,5,1958.81,15.0,8324.94,2023-06-20T00:00:00
115,3505,14660,3,447.37,15.0,1140.79,2024-08-20T00:00:00
116,6466,9444,9,808.15,9.0,6618.75,2024-04-29T00:00:00
117,7398,9749,4,1264.77,2.0,4957.9,2025-04-04T00:00:00
118,3984,11150,2,365.37,25.0,548.06,2024-02-01T00:00:00
119,6013,6435,10,590.88,15.0,5022.48,2024-05-27T00:00:00
120,11593,2802,4,2596.95,29.0,7375.34,2026-02-13T00:00:00
121,2282,9162,7,2878.28,3.0,19543.52,2023-11-27T00:00:00
122,6262,12550,8,2221.7,7.0,16529.45,2025-05-26T00:00:00
123,6729,13205,7,1155.34,5.0,7683.01,2024-02-08T00:00:00
124,3316,7224,1,1023.59,26.0,757.46,2023-02-24T00:00:00
125,12071,5634,6,731.21,25.0,3290.45,2023-11-07T00:00:00
126,12512,13162,3,2359.01,26.0,5237.0,2026-04-07T00:00:00
127,13136,1740,1,494.3,14.0,425.1,2025-06-26T00:00:00
128,4209,14665,1,2285.6,1.0,2262.74,2023-10-01T00:00:00
129,228,14532,10,526.58,8.0,4844.54,2025-03-20T00:00:00
130,5106,6148,4,1803.31,10.0,6491.92,2023-03-26T00:00:00
131,11143,6869,10,1622.95,9.0,14768.85,2024-03-22T00:00:00
132,13349,6959,4,1436.39,17.0,4768.81,2025-12-31T00:00:00
133,805,2669,4,2580.19,8.0,9495.1,2025-02-09T00:00:00
134,320,2510,8,2777.43,18.0,18219.94,2025-06-12T00:00:00
135,11312,4805,4,1793.76,11.0,6385.79,2023-01-30T00:00:00
136,8635,6297,2,2516.89,30.0,3523.65,2023-06-24T00:00:00
137,9443,802,7,1211.09,14.0,7290.76,2025-09-01T00:00:00
138,12688,2188,8,73.07,10.0,526.1,2026-05-24T00:00:00
139,11831,10031,2,668.17,8.0,1229.43,2024-07-25T00:00:00
140,12616,11589,2,1077.62,8.0,1982.82,2023-07-26T00:00:00
141,9262,8635,6,1527.6,11.0,8157.38,2024-11-13T00:00:00
142,14727,6412,3,2348.11,1.0,6973.89,2024-10-27T00:00:00
