id_pagamento,id_pedido,forma_pagamento,status_pagamento,valor,data_pagamento,parcelas,updated_at
1,2235,boleto,aprovado,980.06,2025-07-29T00:00:00,1,2026-03-16T00:00:00
2,11709,cartao_credito,pendente,2014.12,2026-05-09T00:00:00,11,2026-05-22T00:00:00
3,5240,pix,aprovado,2320.22,2023-05-29T00:00:00,1,2026-03-27T00:00:00
4,8044,cartao_credito,pendente,1051.01,2023-07-11T00:00:00,2,2023-09-13T00:00:00
5,8174,boleto,aprovado,2414.24,2025-07-12T00:00:00,1,2025-09-11T00:00:00
6,8788,pix,pendente,702.23,2023-10-02T00:00:00,1,2024-10-03T00:00:00
7,12320,pix,aprovado,142.48,2025-12-07T00:00:00,1,2026-03-17T00:00:00
8,14467,pix,aprovado,1082.91,2023-10-30T00:00:00,1,2025-07-27T00:00:00
9,11940,cartao_credito,pendente,896.28,2026-01-23T00:00:00,10,2026-02-10T00:00:00
10,9969,cartao_credito,aprovado,2621.81,2024-07-12T00:00:00,7,2026-01-22T00:00:00
11,12154,cartao_credito,aprovado,562.64,2025-01-01T00:00:00,5,2025-04-04T00:00:00
12,4127,cartao_credito,pendente,2563.25,2023-05-06T00:00:00,1,2024-07-24T00:00:00
13,11542,cartao_credito,aprovado,399.92,2026-03-18T00:00:00,1,2026-05-11T00:00:00
14,6605,boleto,aprovado,965.28,2023-05-30T00:00:00,1,2024-06-19T00:00:00
15,10409,pix,aprovado,2947.93,2024-06-13T00:00:00,1,2026-05-13T00:00:00
16,8866,cartao_credito,aprovado,135.37,2023-04-09T00:00:00,10,2023-11-12T00:00:00
17,13455,cartao_credito,aprovado,253.11,2025-08-22T00:00:00,4,2025-09-28T00:00:00
18,5541,pix,pendente,794.25,2026-05-18T00:00:00,1,2026-05-30T00:00:00
19,3572,cartao_debito,aprovado,1793.69,2026-03-04T00:00:00,1,2026-05-07T00:00:00
20,8438,cartao_credito,aprovado,401.25,2025-07-08T00:00:00,9,2025-07-21T00:00:00
21,4218,cartao_debito,aprovado,442.05,2024-04-11T00:00:00,1,2025-02-12T00:00:00
22,7656,cartao_debito,pendente,2967.11,2026-01-17T00:00:00,1,2026-04-19T00:00:00
23,10712,pix,aprovado,746.33,2025-06-24T00:00:00,1,2025-11-29T00:00:00
24,14660,cartao_debito,aprovado,126.28,2025-10-27T00:00:00,1,2026-03-14T00:00:00
25,12249,pix,aprovado,1010.05,2023-10-08T00:00:00,1,2026-06-11T00:00:00
26,1570,pix,aprovado,266.97,2025-03-09T00:00:00,1,2026-04-07T00:00:00
27,11766,pix,aprovado,2528.62,2023-11-02T00:00:00,1,2026-04-10T00:00:00
28,10014,cartao_debito,aprovado,57.63,2024-01-17T00:00:00,1,2024-03-18T00:00:00
29,8045,pix,aprovado,1624.02,2023-05-16T00:00:00,1,2026-03-22T00:00:00
30,11900,pix,aprovado,1323.17,2024-08-26T00:00:00,1,2024-09-19T00:00:00
31,7794,cartao_credito,aprovado,1732.74,2024-09-13T00:00:00,1,2024-10-16T00:00:00
32,2599,cartao_debito,pendente,2544.12,2023-11-26T00:00:00,1,2024-07-31T00:00:00
33,8217,cartao_credito,aprovado,2536.21,2026-04-01T00:00:00,3,2026-04-30T00:00:00
34,14003,cartao_credito,aprovado,1948.73,2023-12-10T00:00:00,4,2025-12-06T00:00:00
35,8000,pix,aprovado,1143.98,2026-03-25T00:00:00,1,2026-05-15T00:00:00
36,8996,cartao_credito,aprovado,125.78,2023-09-22T00:00:00,4,2024-08-19T00:00:00
37,5706,cartao_debito,aprovado,2137.02,2025-04-21T00:00:00,1,2025-05-03T00:00:00
38,3280,pix,aprovado,2773.45,2024-04-20T00:00:00,1,2025-09-29T00:00:00
39,11598,cartao_credito,aprovado,2057.18,2024-10-29T00:00:00,8,2026-04-24T00:00:00
40,7841,cartao_debito,aprovado,2286.75,2024-07-15T00:00:00,1,2025-07-05T00:00:00
41,13409,boleto,aprovado,724.87,2023-06-27T00:00:00,1,2025-04-21T00:00:00
42,3737,pix,aprovado,1780.8,2024-06-18T00:00:00,1,2026-01-29T00:00:00
43,11219,cartao_debito,aprovado,195.29,2025-04-06T00:00:00,1,2025-12-04T00:00:00
44,3765,cartao_credito,aprovado,66.3,2024-04-25T00:00:00,2,2024-12-20T00:00:00
45,7943,cartao_credito,aprovado,1288.77,2023-01-17T00:00:00,9,2023-09-12T00:00:00
46,14411,cartao_credito,aprovado,308.36,2024-01-27T00:00:00,8,2024-02-22T00:00:00
47,4039,cartao_credito,estornado,2161.74,2023-05-06T00:00:00,3,2024-12-21T00:00:00
48,8324,cartao_debito,aprovado,2047.1,2024-05-03T00:00:00,1,2025-09-12T00:00:00
49,5881,cartao_credito,recusado,1861.29,2024-05-29T00:00:00,12,2026-04-19T00:00:00
50,6955,pix,aprovado,2004.86,2026-06-04T00:00:00,1,2026-06-11T00:00:00
51,3840,cartao_credito,aprovado,2567.84,2024-02-28T00:00:00,9,2025-09-04T00:00:00
52,14594,cartao_credito,aprovado,1734.63,2023-02-06T00:00:00,3,2025-04-21T00:00:00
53,11232,pix,aprovado,563.58,2024-04-02T00:00:00,1,2025-02-27T00:00:00
54,681,pix,recusado,2417.91,2025-07-03T00:00:00,1,2026-04-09T00:00:00
55,5524,cartao_credito,aprovado,1831.93,2025-08-03T00:00:00,6,2026-04-20T00:00:00
56,10340,pix,aprovado,2750.91,2025-07-24T00:00:00,1,2026-05-12T00:00:00
57,4251,cartao_credito,aprovado,1773.27,2024-04-08T00:00:00,3,2026-05-10T00:00:00
58,5901,cartao_credito,aprovado,921.33,2025-07-20T00:00:00,11,2025-08-15T00:00:00
59,7666,pix,recusado,360.7,2023-04-28T00:00:00,1,2025-05-10T00:00:00
60,2973,cartao_credito,aprovado,306.81,2026-04-30T00:00:00,7,2026-05-12T00:00:00
61,9335,cartao_credito,aprovado,987.68,2025-07-30T00:00:00,8,2025-12-28T00:00:00
62,13350,pix,pendente,329.02,2025-01-13T00:00:00,1,2025-02-02T00:00:00
63,11112,cartao_credito,recusado,2048.81,2025-12-13T00:00:00,9,2026-01-30T00:00:00
64,4991,cartao_credito,aprovado,2642.08,2024-01-20T00:00:00,12,2025-04-01T00:00:00
65,9956,cartao_credito,aprovado,2141.77,2025-05-26T00:00:00,5,2025-08-26T00:00:00
66,10041,cartao_credito,aprovado,873.49,2026-02-06T00:00:00,12,2026-02-28T00:00:00
67,3353,cartao_credito,aprovado,545.66,2025-02-28T00:00:00,2,2026-04-20T00:00:00
68,27,boleto,aprovado,2129.02,2025-02-12T00:00:00,1,2026-01-06T00:00:00
69,3053,cartao_credito,aprovado,816.06,2023-02-01T00:00:00,3,2024-10-13T00:00:00
70,5493,cartao_debito,aprovado,145.55,2025-12-15T00:00:00,1,2026-04-01T00:00:00
71,12983,cartao_credito,aprovado,299.76,2024-08-12T00:00:00,6,2026-06-05T00:00:00
72,5572,cartao_credito,aprovado,2013.28,2023-02-06T00:00:00,4,2026-05-20T00:00:00
73,4406,cartao_debito,aprovado,513.96,2024-05-02T00:00:00,1,2024-12-04T00:00:00
74,13110,cartao_credito,aprovado,1997.24,2025-05-06T00:00:00,4,2026-02-13T00:00:00
75,8371,cartao_credito,aprovado,2998.03,2024-06-03T00:00:00,7,2025-12-01T00:00:00
76,9029,cartao_credito,recusado,369.97,2023-02-09T00:00:00,1,2023-12-12T00:00:00
77,8153,cartao_credito,aprovado,2913.36,2025-07-16T00:00:00,2,2026-02-18T00:00:00
78,830,cartao_debito,aprovado,2877.45,2025-01-31T00:00:00,1,2025-07-13T00:00:00
79,381,cartao_credito,aprovado,1823.82,2026-05-11T00:00:00,3,2026-06-11T00:00:00
80,1982,pix,aprovado,32.1,2024-12-31T00:00:00,1,2025-11-01T00:00:00
81,10800,cartao_credito,aprovado,2618.58,2025-09-16T00:00:00,8,2025-10-22T00:00:00
82,10330,cartao_debito,aprovado,1045.61,2025-01-20T00:00:00,1,2025-04-15T00:00:00
83,10876,cartao_credito,aprovado,305.39,2025-09-29T00:00:00,3,2025-12-21T00:00:00
84,857,pix,pendente,1100.31,2025-09-18T00:00:00,1,2026-02-08T00:00:00
85,1745,cartao_credito,aprovado,2249.83,2023-05-09T00:00:00,3,2025-01-13T00:00:00
86,5747,cartao_credito,aprovado,1690.44,2025-03-15T00:00:00,9,2025-10-03T00:00:00
87,1712,cartao_debito,pendente,1811.31,2026-01-21T00:00:00,1,2026-02-27T00:00:00
88,10489,boleto,aprovado,2023.06,2023-12-19T00:00:00,1,2026-03-08T00:00:00
89,5809,boleto,aprovado,1316.43,2024-03-02T00:00:00,1,2025-08-11T00:00:00
90,13967,pix,recusado,2710.14,2025-04-04T00:00:00,1,2025-07-03T00:00:00
91,953,cartao_credito,aprovado,2153.07,2025-07-21T00:00:00,7,2026-02-25T00:00:00
92,6647,pix,aprovado,2269.49,2025-09-23T00:00:00,1,2025-11-30T00:00:00
93,6475,cartao_credito,aprovado,509.42,2025-03-05T00:00:00,11,2026-04-11T00:00:00
94,10000,cartao_debito,aprovado,1041.04,2025-08-05T00:00:00,1,2025-11-11T00:00:00
95,1702,cartao_credito,aprovado,2018.32,2023-08-02T00:00:00,3,2024-01-14T00:00:00
96,10638,cartao_credito,aprovado,1577.49,2026-05-15T00:00:00,5,2026-05-16T00:00:00
97,3680,cartao_debito,aprovado,2615.0,2024-06-16T00:00:00,1,2026-02-24T00:00:00
98,11458,cartao_credito,estornado,918.38,2025-12-08T00:00:00,12,2026-03-16T00:00:00
99,2508,cartao_credito,aprovado,813.41,2023-08-31T00:00:00,4,2024-05-15T00:00:00
100,8723,cartao_debito,aprovado,952.22,2026-01-01T00:00:00,1,2026-04-11T00:00:00
101,2161,cartao_credito,recusado,2723.01,2023-06-10T00:00:00,1,2025-09-15T00:00:00
102,9048,cartao_debito,pendente,2843.04,2024-11-19T00:00:00,1,2025-11-27T00:00:00
103,11662,boleto,aprovado,2185.53,2023-12-23T00:00:00,1,2024-02-28T00:00:00
104,12383,cartao_credito,aprovado,1897.88,2024-07-16T00:00:00,4,2026-03-06T00:00:00
105,9351,cartao_credito,aprovado,939.52,2023-06-04T00:00:00,11,2023-06-07T00:00:00
106,122,pix,aprovado,2121.07,2026-03-04T00:00:00,1,2026-03-28T00:00:00
107,11366,cartao_debito,aprovado,1891.07,2025-09-04T00:00:00,1,2025-09-07T00:00:00
108,12004,pix,aprovado,673.01,2024-08-25T00:00:00,1,2025-01-03T00:00:00
109,3780,cartao_credito,aprovado,2208.45,2026-01-10T00:00:00,11,2026-02-10T00:00:00
110,9024,cartao_credito,aprovado,938.8,2025-09-23T00:00:00,6,2026-02-24T00:00:00
111,13523,cartao_credito,aprovado,431.45,2025-02-04T00:00:00,4,2025-11-01T00:00:00
112,8548,cartao_credito,pendente,2090.35,2025-07-12T00:00:00,5,2026-02-28T00:00:00
113,14682,boleto,aprovado,2385.24,2025-11-02T00:00:00,1,2026-03-21T00:00:00
114,4113,cartao_credito,aprovado,96.13,2024-11-26T00:00:00,6,2026-02-26T00:00:00
