id_pedido,id_cliente,data_pedido,status,valor_total,id_cupom,updated_at
1,10444,2025-10-15T00:00:00,cancelado,2083.78,,2026-05-22T00:00:00
2,3677,2024-11-06T00:00:00,entregue,274.02,,2025-02-01T00:00:00
3,5694,2023-11-10T00:00:00,entregue,583.13,,2024-10-30T00:00:00
4,14998,2024-11-04T00:00:00,cancelado,210.73,,2026-01-17T00:00:00
5,10537,2026-05-21T00:00:00,entregue,37.06,,2026-05-31T00:00:00
6,7118,2024-11-22T00:00:00,entregue,335.27,,2025-08-21T00:00:00
7,9523,2025-06-25T00:00:00,entregue,823.6,,2025-11-10T00:00:00
8,6747,2024-03-04T00:00:00,entregue,2672.18,,2025-09-01T00:00:00
9,12903,2023-08-29T00:00:00,cancelado,1498.39,,2026-01-18T00:00:00
10,2050,2025-11-25T00:00:00,entregue,2483.15,,2026-04-10T00:00:00
11,12422,2024-09-07T00:00:00,entregue,40.1,,2024-12-11T00:00:00
12,7746,2023-01-19T00:00:00,cancelado,2553.78,,2026-05-05T00:00:00
13,9387,2026-01-07T00:00:00,processando,427.83,6162.0,2026-03-05T00:00:00
14,8485,2024-05-18T00:00:00,pendente,2565.7,10617.0,2025-04-27T00:00:00
15,8657,2024-04-30T00:00:00,entregue,1741.08,,2026-03-29T00:00:00
16,1985,2025-03-11T00:00:00,entregue,2330.11,315.0,2025-11-06T00:00:00
17,9284,2023-05-19T00:00:00,pendente,964.13,,2025-11-12T00:00:00
18,1456,2024-12-11T00:00:00,entregue,1300.66,,2026-05-26T00:00:00
19,2166,2023-08-18T00:00:00,processando,446.27,5096.0,2024-02-14T00:00:00
20,866,2024-12-29T00:00:00,enviado,2699.89,5046.0,2025-01-14T00:00:00
21,6622,2026-04-21T00:00:00,entregue,1628.68,3664.0,2026-04-22T00:00:00
22,13543,2023-02-24T00:00:00,entregue,2719.53,,2026-01-29T00:00:00
23,13668,2024-10-29T00:00:00,entregue,1451.45,2065.0,2024-12-13T00:00:00
24,11658,2023-08-22T00:00:00,entregue,2978.83,,2025-05-27T00:00:00
25,1119,2026-01-22T00:00:00,pendente,915.03,7942.0,2026-02-22T00:00:00
26,10882,2025-08-11T00:00:00,entregue,2963.02,,2025-12-17T00:00:00
27,3260,2024-06-24T00:00:00,enviado,2930.7,,2025-02-08T00:00:00
28,3960,2023-04-11T00:00:00,processando,843.94,,2026-06-04T00:00:00
29,4620,2025-02-17T00:00:00,entregue,319.12,2577.0,2026-03-15T00:00:00
30,12414,2025-06-12T00:00:00,entregue,165.34,,2025-10-06T00:00:00
31,2750,2024-09-19T00:00:00,cancelado,1017.42,3229.0,2026-02-07T00:00:00
32,8066,2023-03-04T00:00:00,enviado,2029.66,10396.0,2024-06-19T00:00:00
33,3543,2026-01-02T00:00:00,cancelado,1080.91,,2026-05-25T00:00:00
34,1758,2024-02-04T00:00:00,entregue,1331.48,4217.0,2024-05-03T00:00:00
35,13795,2025-10-17T00:00:00,entregue,190.8,1382.0,2025-12-10T00:00:00
36,392,2025-01-07T00:00:00,pendente,1439.29,,2026-02-26T00:00:00
37,8612,2024-10-02T00:00:00,entregue,754.23,,2025-12-09T00:00:00
38,1991,2026-01-29T00:00:00,cancelado,743.78,,2026-02-28T00:00:00
39,4749,2023-11-16T00:00:00,entregue,911.82,10948.0,2025-05-15T00:00:00
40,9914,2026-02-27T00:00:00,entregue,476.47,,2026-04-17T00:00:00
41,6453,2023-10-08T00:00:00,entregue,1026.0,,2023-11-15T00:00:00
42,5037,2025-02-02T00:00:00,cancelado,2475.38,,2025-07-25T00:00:00
43,10799,2023-08-08T00:00:00,entregue,1608.71,,2023-12-30T00:00:00
44,8894,2026-01-23T00:00:00,pendente,647.74,,2026-05-13T00:00:00
45,7448,2026-03-22T00:00:00,entregue,114.02,,2026-04-30T00:00:00
46,8526,2024-05-17T00:00:00,entregue,2339.79,,2024-10-26T00:00:00
47,8198,2025-01-27T00:00:00,entregue,2030.86,5504.0,2025-06-02T00:00:00
48,5609,2025-12-15T00:00:00,entregue,1349.55,,2026-06-06T00:00:00
49,14559,2024-02-03T00:00:00,entregue,2936.24,,2024-08-04T00:00:00
50,14808,2025-07-31T00:00:00,entregue,2997.27,,2026-01-15T00:00:00
51,4008,2023-04-23T00:00:00,processando,1625.9,,2025-08-09T00:00:00
52,8864,2025-07-23T00:00:00,entregue,834.42,,2025-08-22T00:00:00
53,3266,2025-10-11T00:00:00,pendente,941.5,,2026-05-13T00:00:00
54,11877,2023-06-28T00:00:00,entregue,1114.17,,2025-05-26T00:00:00
