id_produto,nome_produto,descricao,preco,estoque,id_categoria,id_fornecedor,marca,peso_kg,updated_at
1,Arno Lite Quis 592,Nostrum numquam repudiandae voluptate aliquid fugiat consequatur aspernatur ab.,3113.06,500,4216,795,Arno,11.98,2024-03-06T00:00:00
2,Panasonic Plus Quasi 1432,Ad voluptatum tenetur repellendus minus illo rerum expedita sunt.,2312.95,477,3976,424,Panasonic,2.27,2025-12-05T00:00:00
3,Braun Super Natus 8797,Dolorum natus eius inventore atque eius.,4588.04,274,14452,1109,Braun,12.1,2024-12-14T00:00:00
4,Nike Super Ratione 4684,Nostrum ut consectetur est est magni consequuntur.,3817.33,48,11042,4562,Nike,19.2,2026-03-04T00:00:00
5,LG Super Voluptates 8201,Blanditiis adipisci totam magni debitis officia iusto ex iste omnis.,4669.29,424,5057,14371,LG,9.42,2023-09-22T00:00:00
6,Mondial Pro Iusto 2366,Excepturi accusantium omnis aut soluta ea laboriosam neque tempora soluta cumque delectus.,1223.59,60,12610,471,Mondial,12.35,2024-10-06T00:00:00
7,Dell Turbo Ea 5030,Eligendi pariatur vel labore vel tempore repellendus error vero optio ullam error.,903.56,241,10574,5428,Dell,15.44,2024-01-17T00:00:00
8,Motorola Ultra Temporibus 8619,Fuga maxime quam vero minus eum porro blanditiis ex adipisci mollitia ducimus.,1694.79,479,10750,1684,Motorola,14.28,2023-02-11T00:00:00
9,Intelbras Lite Mollitia 7945,Alias ipsam ab reprehenderit libero sed eaque reprehenderit consequuntur sint harum asperiores.,1275.71,457,11391,14379,Intelbras,20.28,2024-06-07T00:00:00
10,Motorola Plus Iusto 3162,Deserunt neque labore consequuntur incidunt voluptate.,2566.87,340,3695,3496,Motorola,14.36,2025-05-10T00:00:00
11,Multilaser Super Modi 5006,Quis quis quo nostrum temporibus exercitationem laboriosam ipsum aut.,2558.46,338,10248,6264,Multilaser,9.11,2025-02-17T00:00:00
12,Lenovo Slim Porro 6214,Nemo debitis doloribus laborum autem dicta qui autem beatae culpa maxime accusantium.,1558.47,369,2600,4849,Lenovo,15.91,2023-10-11T00:00:00
13,Havaianas Premium Vitae 3193,Cumque sequi sit fuga minus deleniti expedita neque deserunt numquam saepe corporis commodi.,606.4,287,536,9529,Havaianas,16.63,2024-11-16T00:00:00
14,Adidas Smart Est 8811,Officiis corporis cum impedit enim quaerat impedit enim repellendus rerum.,194.39,336,110,2363,Adidas,24.71,2025-06-25T00:00:00
15,Intelbras Super Voluptatibus 6210,Laboriosam vitae in quod nam iusto tempore.,1330.48,70,2185,14212,Intelbras,27.59,2025-11-24T00:00:00
16,Mondial Pro Excepturi 5544,Natus occaecati numquam dignissimos a beatae.,4185.18,208,9461,7803,Mondial,0.2,2024-02-01T00:00:00
17,Multilaser Pro Soluta 6337,Accusantium quod expedita maiores eum ratione laborum iste aperiam.,1254.28,389,4898,12605,Multilaser,26.65,2024-08-22T00:00:00
18,Samsung Ultra Atque 5706,Ad numquam asperiores et cupiditate adipisci ipsum vero.,22.95,333,1654,5836,Samsung,14.72,2025-07-05T00:00:00
19,HP Slim Voluptatem 9506,Velit deleniti molestias voluptatibus ab rem suscipit voluptatem ut rem eos suscipit.,3642.3,124,5449,7931,HP,11.77,2023-08-31T00:00:00
20,Tramontina Max Mollitia 7908,Eaque beatae harum pariatur minima facilis explicabo illum.,3698.69,202,1874,2823,Tramontina,4.85,2023-08-07T00:00:00
